"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value",
"Taxol","HUTU-80","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","72","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","48","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","72","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","48","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","24","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","48","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","COLO-800","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","COLO-800","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","COLO-800","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","COLO-800","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","COLO-800","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","48","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","48","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","72","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","5637","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","72","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","48","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","PC-9","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H810","24","0.05","Cell cycle: percent G2-M arrested","99.65",
"Taxol","NCI-H810","24","1.23","Cell cycle: percent G2-M arrested","99.41",
"Taxol","NCI-H810","24","0.05","Cell cycle: percent G2-M arrested","99.4",
"Taxol","NCI-H810","24","11.11","Cell cycle: percent G2-M arrested","99.16",
"Taxol","NCI-H810","24","33.33","Cell cycle: percent G2-M arrested","99.14",
"Taxol","NCI-H810","24","0.02","Cell cycle: percent G2-M arrested","98.82",
